품목코드(ITM_CD),품목명(ITM_NM),품목약어명(ITM_AVVR_NM),최저톤수율(LWST_TON_RT)
9610309,탄약보급품류,탄약보급품류,80
9080197,유류보급품류,유류보급품류,80
1310109,일반보급품류,일반보급품류,80
1410901,컨45보급품영,컨45보급품영,0
1410902,컨40보급품영,컨40보급품영,0
1410903,컨20보급품영,컨20보급품영,0
1060401,승용차,승용차,80
1060401,승용차,승용차,80
1410231,컨테이너20’우드펠릿,컨20우드펠릿,0
1010102,국내무연탄,국내무연탄,96
1010104,경석,경석,96
1010199,석탄류기타,석탄류기타,96
1010301,철광석,철광석,96
1010399,금속광석류기타,금속광석기타,96
1010501,석회석 중괴,석회석 중괴,96
1010502,석회석 소괴,석회석 소괴,96
1010503,석회석분,석회석분,96
1010504,백운석 중괴,백운석 중괴,96
1010505,백운석 소괴,백운석 소괴,96
1010599,석회석류기타,석회석류기타,96
1063302,전차.탱크류,전차.탱크류,80
1063302,전차.탱크류,전차.탱크류,80
1410171,컨테이너20'탱크영,컨20탱크영,0
1410172,컨테이너20'탱크공,컨20탱크공,0
1410371,컨테이너20'탱크위험물A,컨20탱크위A,0
1410372,컨테이너20'탱크위험물B,컨20탱크위B,0
1410373,컨테이너20'탱크위험물C,컨20탱크위C,0
1410222,컨20광석류,컨20광석류,0
1410181,중량컨테이너 20',중량컨 20,0
1410325,중량컨테이너20'위험물A,중컨20위험물A,0
1410326,중량컨테이너20'위험물B,중컨20위험물B,0
1410327,중량컨테이너20'위험물C,중컨20위험물C,0
1410173,중량컨테이너20'탱크영,중량컨20'탱크영,0
1410232,중량컨테이너20'우드펠릿,중량컨20'우드펠릿,0
1410374,중량컨테이너20'탱크위험물A,중컨탱크위20'A,0
1410375,중량컨테이너20'탱크위험물B,중컨탱크위20'B,0
1410376,중량컨테이너20'탱크위험물C,중컨탱크위20'C,0
1410423,중량컨테이너20'영 하이큐빅,중량컨20'영HQ,0
1410301,컨테이너45'위험물A,컨45위험물A,0
1410302,컨테이너45'위험물B,컨45위험물B,0
1410311,컨테이너40'위험물A,컨40위험물A,0
1410312,컨테이너40'위험물B,컨40위험물B,0
1410321,컨테이너20'위험물A,컨20위험물A,0
1410322,컨테이너20'위험물B,컨20위험물B,0
1410325,중량컨테이너20'위험물A,중컨20위험물A,0
1410326,중량컨테이너20'위험물B,중컨20위험물B,0
1410371,컨테이너20'탱크위험물A,컨20탱크위A,0
1410372,컨테이너20'탱크위험물B,컨20탱크위B,0
1410374,중량컨테이너20'탱크위험물A,중컨탱크위20'A,0
1410375,중량컨테이너20'탱크위험물B,중컨탱크위20'B,0
9700000,컨테이너위험물,컨테이너위험물,0
9700100,컨테이너일반위험물류,컨일반위험물류,0
9700101,컨테이너45'위험물C,컨45위험물C,0
9700102,컨테이너45'영 하이큐빅위험물C,컨45영HQ위험물C,0
9700111,컨테이너40'위험물C,컨40위험물C,0
9700112,컨테이너40'영 하이큐빅위험물C,컨40영HQ위험물C,0
9700121,컨테이너20'위험물C,컨20위험물C,0
9700122,컨테이너20'탱크위험물C,컨20탱크위험물C,0
9700123,중량컨테이너20'위험물C,중컨20위험물C,0
9700124,중량컨테이너20'탱크위험물C,중컨20탱크위험물C,0
9700125,컨테이너20'영 하이큐빅위험물C,컨20영HQ위험물C,0
9700200,화약폭약화공품류,화약폭약화공품류,0
9700201,컨테이너45'화약류D,컨45화약류D,0
9700202,컨테이너45'폭약류D,컨45폭약류D,0
9700203,컨테이너45'화공품류D,컨45화공품류D,0
9700211,컨테이너40'화약류D,컨40화약류D,0
9700212,컨테이너40'폭약류D,컨40폭약류D,0
9700213,컨테이너40'화공품류D,컨40화공품류D,0
9700221,컨테이너20'화약류D,컨20화약류D,0
9700222,컨테이너20'폭약류D,컨20폭약류D,0
9700223,컨테이너20'화공품류D,컨20화공품류D,0
9700224,중량컨테이너20'화약류D,중컨20화약류D,0
9700225,중량컨테이너20'폭약류D,중컨20폭약류D,0
9700226,중량컨테이너20'화공품류D,중컨20화공품류D,0
